28364485.98130841, 43371.10481586403
29112149.53271028, 42096.31728045326
30000000, 40609.06515580737
30794392.523364484, 38909.34844192635
31588785.04672897, 37138.810198300285
32056074.76635514, 37067.98866855524
32616822.42990654, 37138.810198300285
33598130.841121495, 36713.881019830034
35186915.88785046, 37138.810198300285
38551401.86915888, 35864.022662889525
39299065.42056075, 37422.096317280455
41214953.271028034, 35722.37960339944
42009345.79439252, 35722.37960339944
42429906.54205607, 33951.841359773374
42990654.205607474, 35509.91501416431
44532710.28037383, 34801.69971671388
46915887.85046728, 31473.087818696884
47476635.514018685, 31402.266288951847
48551401.86915888, 31968.83852691218
49252336.448598124, 30127.47875354108
50514018.69158878, 30552.407932011338
51214953.27102803, 30623.229461756375
52149532.71028037, 30764.872521246463
53925233.644859806, 29419.26345609065
55000000, 28994.3342776204
55560747.6635514, 28569.405099150143
56588785.04672897, 27648.725212464597
57102803.73831776, 27082.15297450425
57990654.205607474, 26869.688385269124
58925233.644859806, 26373.93767705383
59579439.25233644, 26798.86685552408
60420560.74766354, 28286.118980169973
61074766.35514018, 28781.869688385268
62242990.654205605, 29135.977337110482
63037383.17757009, 30481.586402266294
63925233.644859806, 32747.87535410765
64345794.39252336, 32818.696883852695
65514018.691588774, 34447.59206798867
65794392.52336448, 35226.62889518414
66074766.35514018, 36855.524079320116
67196261.68224299, 37776.20396600567
67616822.42990653, 38626.06232294618
68037383.17757007, 40042.492917847034
68457943.92523363, 41883.85269121813
68925233.6448598, 43441.92634560907
70186915.88785046, 44787.535410764875
70794392.52336448, 45424.92917847026
71588785.04672897, 45991.5014164306
72242990.65420559, 46912.18130311615
72757009.34579438, 47478.75354107649
73177570.09345794, 48257.79036827196
73971962.61682242, 49603.39943342777
74252336.44859812, 50382.43626062323
75000000, 52932.011331444766
75560747.66355139, 53923.51274787536
76308411.21495326, 54702.54957507083
77009345.79439253, 55410.76487252125
77523364.4859813, 56402.26628895185
77897196.26168223, 57322.9461756374
78644859.8130841, 59801.69971671389
79345794.39252336, 62847.02549575071
80397196.26168223, 63803.11614730878
81355140.18691587, 64475.92067988668
